# synthetic engineering approximation -- replace with XFoil data
name,re,alpha_deg,cl,cd
naca4412,1.000000e+05,-20,-0.994512,0.112073
naca4412,1.000000e+05,-19,-1.093415,0.100488
naca4412,1.000000e+05,-18,-1.192317,0.088902
naca4412,1.000000e+05,-17,-1.291219,0.077317
naca4412,1.000000e+05,-16,-1.390122,0.065732
naca4412,1.000000e+05,-15,-1.489024,0.054146
naca4412,1.000000e+05,-14,-1.587927,0.042561
naca4412,1.000000e+05,-13,-1.075610,0.030976
naca4412,1.000000e+05,-12,-0.965947,0.019390
naca4412,1.000000e+05,-11,-0.856285,0.017731
naca4412,1.000000e+05,-10,-0.746623,0.016215
naca4412,1.000000e+05,-9,-0.636960,0.014845
naca4412,1.000000e+05,-8,-0.527298,0.013618
naca4412,1.000000e+05,-7,-0.417636,0.012536
naca4412,1.000000e+05,-6,-0.307974,0.011598
naca4412,1.000000e+05,-5,-0.198311,0.010804
naca4412,1.000000e+05,-4,-0.088649,0.010154
naca4412,1.000000e+05,-3,0.021013,0.009649
naca4412,1.000000e+05,-2,0.130675,0.009289
naca4412,1.000000e+05,-1,0.240338,0.009072
naca4412,1.000000e+05,0,0.350000,0.009000
naca4412,1.000000e+05,1,0.459662,0.009072
naca4412,1.000000e+05,2,0.569325,0.009289
naca4412,1.000000e+05,3,0.678987,0.009649
naca4412,1.000000e+05,4,0.788649,0.010154
naca4412,1.000000e+05,5,0.898311,0.010804
naca4412,1.000000e+05,6,1.007974,0.011598
naca4412,1.000000e+05,7,1.117636,0.012536
naca4412,1.000000e+05,8,1.227298,0.013618
naca4412,1.000000e+05,9,1.336960,0.014845
naca4412,1.000000e+05,10,1.446623,0.016215
naca4412,1.000000e+05,11,1.556285,0.017731
naca4412,1.000000e+05,12,1.665947,0.019390
naca4412,1.000000e+05,13,1.775610,0.030976
naca4412,1.000000e+05,14,1.587927,0.042561
naca4412,1.000000e+05,15,1.489024,0.054146
naca4412,1.000000e+05,16,1.390122,0.065732
naca4412,1.000000e+05,17,1.291219,0.077317
naca4412,1.000000e+05,18,1.192317,0.088902
naca4412,1.000000e+05,19,1.093415,0.100488
naca4412,1.000000e+05,20,0.994512,0.112073
naca4412,1.000000e+05,21,0.895610,0.123659
naca4412,1.000000e+05,22,0.796707,0.135244
naca4412,1.000000e+05,23,0.697805,0.146829
naca4412,1.000000e+05,24,0.598902,0.158415
naca4412,1.000000e+05,25,0.500000,0.170000
naca4412,1.000000e+05,26,0.500000,0.170000
naca4412,1.000000e+05,27,0.500000,0.170000
naca4412,1.000000e+05,28,0.500000,0.170000
naca4412,1.000000e+05,29,0.500000,0.170000
naca4412,1.000000e+05,30,0.500000,0.170000
naca4412,1.000000e+05,31,0.500000,0.170000
naca4412,1.000000e+05,32,0.500000,0.170000
naca4412,1.000000e+05,33,0.500000,0.170000
naca4412,1.000000e+05,34,0.500000,0.170000
naca4412,1.000000e+05,35,0.500000,0.170000
naca4412,1.000000e+05,36,0.500000,0.170000
naca4412,1.000000e+05,37,0.500000,0.170000
naca4412,1.000000e+05,38,0.500000,0.170000
naca4412,1.000000e+05,39,0.500000,0.170000
naca4412,1.000000e+05,40,0.500000,0.170000
naca4412,1.000000e+05,41,0.500000,0.170000
naca4412,1.000000e+05,42,0.500000,0.170000
naca4412,1.000000e+05,43,0.500000,0.170000
naca4412,1.000000e+05,44,0.500000,0.170000
naca4412,1.000000e+05,45,0.500000,0.170000
